Name	Radius		Day		GM			SOI		Atmo
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
Earth	6371000.00	86164.098903691	398600441800000.000	923795000.000	180000.000
Moon	1737100.00	2360584.6847999	4902800000000.000	66009800.000	0.000
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%% Original Planets from here down ...
%%% Values from https://wiki.kerbalspaceprogram.com/wiki/User:Craftsman
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
Kerbol	26160000.00	432000.000	1172332800000000000.000	999999999999.00	0.000
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
Moho	250000.000	1210000.000	168609378654.510	9646663.023	0.000
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
Eve	700000.000	80500.000	8171730229210.800	85109364.738	90000.000
Gilly	13000.000	28255.000	8289449.81500000	126123.272	0.000
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
Kerbin	600000.000	21549.425	3531600000000.000	84159286.480	70000.000
Mun	200000.000	138984.377	65138397520.7810	2429559.117	0.000
Minmus	60000.000	40400.000	1765800026.31200	2247428.388	0.000
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
Duna	320000.000	65517.859	301363211975.100	47921949.370	50000.000
Ike	130000.000	65517.862	18568368573.1440	1049598.939	0.000
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
Dres	138000.000	34800.000	21484488600.0000	32832839.577	0.000
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
Jool	6000000.000	36000.000	282528004209990.000	2455985185.423	200000.000
Laythe	500000.000	52980.879	1962000029236.100	3723645.811	50000.000
Vall	300000.000	105962.089	207481499473.750	2406401.445	0.000
Tylo	600000.000	211926.358	2825280042099.900	10856518.368	0.000
Bop	65000.000	544507.429	2486834944.41005	1221060.863	0.000
Pol	44000.000	901902.624	721702080.000000	1042138.892	0.000
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
Eeloo	210000.000	19460.000	74410814527.0520	119082941.648	0.000
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%%	Kcalbeloh	HAS	NEGATIVE	DAY	RADIUS	DAY	ATMO	GAS	GAINT	WRONG	SOI	DATA?
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
Ahtpan	380000.000	46870.000	144460461600000.000	53693155719903.800	65000.000
Anehta	8000000.000	40000.000	685207771360000.000	407799993759218000.000	225000.000
Anneleg	508000.000	1309359.522	123214521.000	2557552167602710.000	436000.000
Arorua	720000.000	749402.741	7035934026240.000	22256933.3499811	0.000
Dipuc	180000.000	109120.242	47660319000.000	47660319000.000	0.000
Efil	450000.000		52856.806	1426433630737.500	3085033.209	72000.000
Elad	520000.000	408005.827	1935754256800.000	13614747.850	0.000
Enots	18000.000	18259.000	143492720	30909.298	0.000
Eulb	310000.000	134136.045	226180575600.000	2747711.028	0.000
Iomena	400000.000	747972.123	549172400000.000	9233328.144	80000.000
Mehtna	460000.000	281340.957	1058294441400.000	6080483.626	73000.000
Meiuquer	50000.000	373470.531	980665000.000	449489.316	0.000
Noi	8300.000	18784.000	11546158.400	18425000000.001	0.000
Noira	74000.000	-11715.065	5370121540.000	664191.623	0.000
Norihc	336000.000	54450.000	487137885696.000	8648841.928	42000.000
Noyreg	500000.000	24000.000	1372931000000.000	22706698.009	96000.000
Onrefni	320000.000		612926.755	319737585664.000	3427888.408	0.000
Rouqea	1331340.000	1075902.579	22305876583200.000	27251254.293	80000.000
Sedah	6700000.000	847892.132	41209240441600.000	47021146.797	291000.000
Sera	690000.000	36373.414	5042461750200.000	80510513.866	71000.000
Simeht	4000000	46140.977	144460461600000.000	12000000.000	177000.000
Simetra	4800000	46140.977	237917603840000.000	15000000.000	190000.000
Suluco	520000.000	2640461.115	2253960436000.000	31359322.310	65000.000
Tot	3250.000	18425.000	1154615.840	18096.014	0.000
Geet	10630.000	10654.508	42662660.401	21979.957	0.000
