[size=4][b]Flake [AltLo1][/B][/SIZE][spoiler=Show AltLo1 Orbits][code]

              Altitude                Inc.       Orbital   Time to Scan          Eff.  Swath  Resolution
  UEQx Sidelap  Ideal     +/- Error               Period      Total    +/- Error  FOV   Width (deg)   (km)
====================================================================================================================
    13     5 (1.07)   19.401 km +/- 0.01 km (0.00°)  50h 20.7m   125h 51.6m +/- 07.1m (7.2°)  77 m (0.39°) 13.48 m
    16     7 (1.13)   17.208 km +/- 0.01 km (0.00°)  42h 48.4m   149h 49.4m +/- 09.8m (6.4°)  58 m (0.29°) 10.18 m
    17     8 (1.11)   16.038 km +/- 0.01 km (0.00°)  38h 57.2m   155h 48.7m +/- 10.9m (6.0°)  50 m (0.25°) 8.71 m
    19     9 (1.23)   15.934 km +/- 0.01 km (0.00°)  38h 37.2m   173h 47.2m +/- 12.2m (5.9°)  49 m (0.25°) 8.59 m
    21    11 (1.21)   14.402 km +/- 0.01 km (0.00°)  33h 46.4m   185h 45.2m +/- 15.3m (5.3°)  40 m (0.20°) 6.92 m
    19    10 (1.09)   14.332 km +/- 0.01 km (0.00°)  33h 33.3m   167h 46.7m +/- 13.9m (5.3°)  39 m (0.20°) 6.84 m
    20    11 (1.09)   13.689 km +/- 0.02 km (0.00°)  31h 35.6m   173h 45.6m +/- 15.5m (5.1°)  36 m (0.18°) 6.22 m
    23    13 (1.21)   13.298 km +/- 0.02 km (0.00°)  30h 25.1m   197h 43.2m +/- 18.6m (4.9°)  34 m (0.17°) 5.85 m
    22    13 (1.09)   12.674 km +/- 0.02 km (0.00°)  28h 34.4m   185h 43.9m +/- 18.2m (4.7°)  30 m (0.15°) 5.30 m
    23    14 (1.10)   12.265 km +/- 0.02 km (0.00°)  27h 23.3m   191h 43.2m +/- 19.4m (4.6°)  28 m (0.14°) 4.95 m
    27    17 (1.24)   11.807 km +/- 0.02 km (0.00°)  26h 04.7m   221h 39.8m +/- 23.9m (4.4°)  26 m (0.13°) 4.58 m
    25    16 (1.12)   11.588 km +/- 0.02 km (0.00°)  25h 27.7m   203h 41.3m +/- 22.3m (4.3°)  25 m (0.13°) 4.41 m
    23    15 (1.00)   11.338 km +/- 0.02 km (0.00°)  24h 45.7m   185h 42.5m +/- 20.7m (4.2°)  24 m (0.12°) 4.21 m
    26    17 (1.13)   11.305 km +/- 0.02 km (0.00°)  24h 40.0m   209h 39.9m +/- 24.1m (4.2°)  24 m (0.12°) 4.19 m
